File_name	Segment	Dur	F0_min	F0_min_loc	F0_max	F0_max_loc	F0_mgnt	F0_changerate
ZWJ_ti21_2	t21	0.340	161.13	0.28	202.99	0.93	41.85	189.83
ZWJ_ti21_2	t21	0.275	152.93	0.38	170.03	0.09	-17.10	-217.30
ZWJ_ti24	t24	0.351	159.16	0.30	266.86	1.00	107.70	436.39
ZWJ_ti24	t24	0.357	164.22	0.26	239.43	0.95	75.21	303.36
ZWJ_ti24	t24	0.317	159.26	0.35	261.34	1.00	102.08	491.75
ZWJ_ti34	t34	0.333	180.24	0.53	203.77	0.99	23.53	154.52
ZWJ_ti34	t34	0.262	168.95	0.79	200.53	0.98	31.58	642.69
ZWJ_ti34	t34	0.247	172.90	0.86	195.70	0.02	-22.81	-110.33
ZWJ_ti45	t45	0.312	230.73	0.09	351.51	1.00	120.77	424.35
ZWJ_ti45	t45	0.323	229.64	0.08	325.96	0.89	96.33	367.56
ZWJ_ti45	t45	0.261	231.55	0.09	334.82	0.90	103.27	488.48
ZX_di13	t13	0.413	120.90	0.05	224.06	0.91	103.17	288.96
ZX_di13	t13	0.365	165.56	0.46	213.81	0.93	48.25	278.45
ZX_di13	t13	0.326	154.49	0.35	218.20	0.85	63.72	390.43
ZX_di21	t21	0.428	122.18	0.94	175.43	0.12	-53.25	-151.35
ZX_di21	t21	0.492	124.61	0.92	165.43	0.17	-40.82	-109.96
ZX_di21	t21	0.398	125.65	0.90	166.65	0.32	-40.99	-176.72
ZX_di24	t24	0.357	127.51	0.05	297.26	0.95	169.75	528.26
ZX_di24	t24	0.404	131.36	0.06	312.71	0.96	181.35	502.94
ZX_di24	t24	0.226	192.85	0.55	243.13	0.86	50.28	701.49
ZX_di24	t24	0.355	201.38	0.47	279.73	0.88	78.35	537.32
ZX_di24	t24	0.345	125.78	0.11	259.90	0.85	134.12	526.27
ZX_di24	t24	0.223	141.65	0.12	246.92	0.87	105.27	625.79
ZX_di45	t45	0.304	219.17	0.02	356.30	0.88	137.13	527.39
ZX_di45	t45	0.316	219.33	0.06	308.60	0.91	89.27	333.49
ZX_di45	t45	0.216	225.81	0.03	350.99	1.00	125.18	597.06
ZX_si13	t13	0.338	127.20	0.44	163.97	0.91	36.77	231.75
ZX_si13	t13	0.267	116.17	0.50	139.60	0.84	23.42	256.31
